USPS	GEOID	ANSICODE	NAME	LSAD	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                 
TX	4830464	02410632	Grand Prairie city	25	A	187805697	23047878	72.512	8.899	32.686108	-97.020804                                                                                                        
TX	4830644	02410650	Grapevine city	25	A	83299263	9536173	32.162	3.682	32.934969	-97.075912                                                                                                              
TX	4830920	02410660	Greenville city	25	A	83622733	2124101	32.287	0.82	33.111939	-96.110256                                                                                                              
TX	4832372	02410703	Harlingen city	25	A	103895300	1287618	40.114	0.497	26.191204	-97.697383                                                                                                             
TX	4834220	02410769	Hitchcock city	25	A	156518865	82132557	60.432	31.712	29.28262	-95.007631                                                                                                            
TX	4835000	02410796	Houston city	25	A	1659162912	80885505	640.606	31.23	29.785743	-95.388806                                                                                                            
TX	4835528	02410080	Huntsville city	25	A	110299300	2171812	42.587	0.839	30.700542	-95.55489                                                                                                             
TX	4837000	02410117	Irving city	25	A	173475846	2568679	66.979	0.992	32.857748	-96.970022                                                                                                                
TX	4839148	02411542	Killeen city	25	A	141484801	1696421	54.628	0.655	31.077669	-97.731952                                                                                                               
TX	4839952	02411564	Kyle city	25	A	84052555	550298	32.453	0.212	29.994118	-97.883322                                                                                                                    
TX	4841212	02411621	Lancaster city	25	A	85637106	131084	33.065	0.051	32.596203	-96.773789                                                                                                               
TX	4841464	02411626	Laredo city	25	A	276672979	3804554	106.824	1.469	27.560379	-99.489181                                                                                                               
TX	4841980	02411642	League City city	25	A	133027328	4583115	51.362	1.77	29.490064	-95.109093                                                                                                            
TX	4842016	02410812	Leander city	25	A	100197360	526900	38.686	0.203	30.574273	-97.861741                                                                                                                
TX	4842508	02410829	Lewisville city	25	A	105299972	16157901	40.657	6.239	33.050725	-96.974623                                                                                                           
TX	4842568	02410832	Liberty city	25	A	115307824	3237871	44.521	1.25	30.038834	-94.788803                                                                                                                
TX	4843888	02410870	Longview city	25	A	144589999	258125	55.827	0.1	32.519337	-94.764592                                                                                                                 
TX	4845000	02410892	Lubbock city	25	A	367677050	3394278	141.961	1.311	33.561901	-101.888883                                                                                                             
TX	4845072	02410895	Lufkin city	25	A	88596700	707839	34.207	0.273	31.322904	-94.729026                                                                                                                  
TX	4845384	02411057	McAllen city	25	A	161442701	1067485	62.333	0.412	26.224966	-98.246083                                                                                                               
TX	4845744	02411064	McKinney city	25	A	173433392	1912665	66.963	0.738	33.201125	-96.664161                                                                                                              
TX	4846452	02411023	Mansfield city	25	A	95289090	111828	36.791	0.043	32.569188	-97.120532                                                                                                               
